Packet #,Jitter(ms),,,,,
1067,7.109165237,294.2510376,856.992,,OK,
1069,6.997939965,299.5805984,867.84,,OK,
1071,6.970374328,306.1374882,878.688,,OK,
1073,6.918883231,312.284005,889.536,,OK,
1075,6.867305578,318.3776458,900.384,,OK,
1077,6.456894098,318.6783677,911.232,,OK,
1079,6.168638453,320.5231714,911.232,,OK,
1081,5.795862376,320.3189502,900.384,,OK,
1083,5.555313151,322.266025,911.232,,OK,
1085,5.275554211,321.1868549,911.232,,OK,
1087,4.955210927,321.0367932,889.536,,OK,
1089,4.687576695,321.7098564,867.84,,OK,
1091,4.586553388,318.6386527,824.448,,OK,
1093,4.53041969,322.3270669,802.752,,OK,
1095,4.402255383,319.8472761,770.208,,OK,
1097,4.259065248,321.9584893,759.36,,OK,
1099,4.058070226,320.9153444,759.36,,OK,
1101,3.824544649,321.2370054,759.36,,OK,
1103,3.620425296,320.6783704,759.36,,OK,
1105,3.569268909,317.8764473,759.36,,OK,
1107,3.599524228,321.9298013,759.36,,OK,
1109,3.565269526,318.8783523,748.512,,OK,
1111,3.522828236,321.7645612,759.36,,OK,
1113,3.313508471,321.5908492,759.36,,OK,
1115,3.160809574,320.7205231,737.664,,OK,
1117,3.03646685,321.8918491,726.816,,OK,
1119,2.868695818,322.2439794,726.816,,OK,
1121,2.847403996,319.7159528,715.968,,OK,
1123,2.81141458,321.9875261,726.816,,OK,
1125,2.672624717,321.3967493,715.968,,OK,
1127,2.537842881,321.9128647,715.968,,OK,
1129,2.380405617,321.894018,715.968,,OK,
1131,2.260300558,321.4352933,726.816,,OK,
1133,2.146604044,321.8764497,715.968,,OK,
1135,2.811448083,309.092341,705.12,,OK,
1139,2.773042841,311.2893052,705.12,,OK,
1141,2.914317372,316.3227406,705.12,,OK,
1143,3.03800062,321.2159899,715.968,,OK,
1145,2.927686164,322.4889592,715.968,,OK,
1147,2.756323383,322.3030776,715.968,,OK,
1149,2.605572776,321.9587639,715.968,,OK,
1151,2.526549582,320.6175622,705.12,,OK,
1153,2.438640997,321.7375744,715.968,,OK,
1155,2.288133914,321.7070468,715.968,,OK,
1157,2.158127315,321.9150751,715.968,,OK,
1159,2.041680524,321.6200964,726.816,,OK,
1161,1.993402033,320.3508718,737.664,,OK,
1163,1.909369469,320.9997528,737.664,,OK,
1165,2.27770812,313.1969649,737.664,,OK,
1167,2.676896189,321.8616821,737.664,,OK,
1169,2.590660733,320.5645532,737.664,,OK,
1171,2.513709735,319.2051084,737.664,,OK,
1173,2.546297009,322.2402146,737.664,,OK,
1175,2.480604751,320.7449937,737.664,,OK,
1177,2.385104093,321.6975879,715.968,,OK,
1179,2.262841087,321.2686919,715.968,,OK,
1181,2.146159485,321.6646273,726.816,,OK,
1183,2.152163545,319.4224029,737.664,,OK,
1185,2.190472476,322.1875093,748.512,,OK,
1187,2.064178043,322.0177478,726.816,,OK,
1189,1.938923068,322.0778462,737.664,,OK,
1191,1.834282724,321.8131687,748.512,,OK,
1193,2.203042394,314.0787312,759.36,,OK,
1195,2.53890096,321.6555107,770.208,,OK,
1197,2.39757524,321.9332001,781.056,,OK,
1199,2.455848635,318.6032506,781.056,,OK,
1201,2.41082863,320.3387791,759.36,,OK,
1203,2.271469556,320.5198626,726.816,,OK,
1205,2.230760299,322.139984,705.12,,OK,
1207,2.148899752,321.2189924,694.272,,OK,
1209,2.086359858,322.3672539,694.272,,OK,
1211,2.06539177,320.6163834,694.272,,OK,
1213,2.002441999,321.6745789,694.272,,OK,
1215,1.884469465,321.7894603,694.272,,OK,
1217,1.916974908,319.3849038,705.12,,OK,
1219,1.959499254,321.9822682,705.12,,OK,
